Line	altrad_heli	cpi135k_prelim	cpi1800_prelim	cpi400_prelim	cpi40k_prelim	cpi8200_prelim	cpq135k_prelim	cpq1800_prelim	cpq400_prelim	cpq40k_prelim	cpq8200_prelim	cpsp	cxi3300_prelim	cxq3300_prelim	cxsp	date	dep135k	dep1800	dep400	dep40k	dep8200	diurnal	dres_200_by5m[0]	dres_200_by5m[1]	dres_200_by5m[2]	dres_200_by5m[3]	dres_200_by5m[4]	dres_200_by5m[5]	dres_200_by5m[6]	dres_200_by5m[7]	dres_200_by5m[8]	dres_200_by5m[9]	dres_200_by5m[10]	dres_200_by5m[11]	dres_200_by5m[12]	dres_200_by5m[13]	dres_200_by5m[14]	dres_200_by5m[15]	dres_200_by5m[16]	dres_200_by5m[17]	dres_200_by5m[18]	dres_200_by5m[19]	dres_200_by5m[20]	dres_200_by5m[21]	dres_200_by5m[22]	dres_200_by5m[23]	dres_200_by5m[24]	dres_200_by5m[25]	dres_200_by5m[26]	dres_200_by5m[27]	dres_200_by5m[28]	dres_200_by5m[29]	dres_200_by5m[30]	dres_200_by5m[31]	dres_200_by5m[32]	dres_200_by5m[33]	dres_200_by5m[34]	dres_200_by5m[35]	dres_200_by5m[36]	dres_200_by5m[37]	dres_200_by5m[38]	dres_200_by5m[39]	dres_200_by5m[40]	dtm	fid	flight	gpsz_tx	mag_diu	mag_lag	powerline	res135k	res1800	res400	res40k	res8200	time_ssm	x_tx	y_tx
L120030	71.02374315	453.3032837	62.1799202	16.15880775	212.220993	123.7358322	530.3255005	61.44151688	31.18088913	233.9985046	97.00662994	0.000109294	28.95333672	29.66454315	1.96E-05	20230816	-36.99514389	2.37677002	-1.687599182	-25.55274582	-4.874572754	57258.13608	841.796936	841.796936	841.796936	816.1989136	661.6853027	536.4224854	434.8730469	334.9530945	13.19302464	0.973541617	1.587276936	2.587920189	4.130876541	5.55023098	7.457270145	10.01956081	13.46224594	18.08782578	24.30273628	32.65306854																						107.7883883	3548.3	29006	149.18423	57353.90492	57392.041	0.000301603	841.796936	34.36212158	37.49007797	393.6524048	72.151474	53170.3	386321.9824	7202073.374
L120030	71.04105988	449.277771	62.04988098	16.11609268	211.2632141	124.0136108	530.3562622	61.1960907	31.16654587	232.6055145	96.44772339	0.000196294	29.13412476	29.61159325	2.43E-05	20230816	-37.11958313	2.494094849	-1.778739929	-25.4585762	-4.688461304	57258.1476	856.4631958	856.4631958	856.4631958	830.2376099	670.5145874	541.5194092	437.3406677	339.4178162	13.26334	0.965330184	1.667884827	2.881749392	4.774075985	6.296972275	8.305662155	10.9551096	14.44971275	19.05906868	25.13877869	33.15787125																						107.7808324	3548.4	29006	149.18214	57353.9324	57392.08	0.000915513	856.4631958	34.31854248	37.62760544	394.092041	71.14987183	53170.4	386321.5368	7202070.511
L120030	71.06009529	445.354187	61.88729095	16.15790176	210.3790436	124.2684708	530.4104614	60.9561882	31.07759857	231.3102264	96.03844452	0.00011811	29.25403214	29.55234909	1.88E-05	20230816	-37.24601746	2.5963974	-1.521179199	-25.372612	-4.555046082	57258.15911	871.1286011	871.1286011	871.1286011	844.2445679	679.258728	546.5151367	439.7128906	343.3684998	13.33383656	0.957780182	1.728318691	3.118758917	5.29421711	6.889891148	8.966500282	11.66899776	15.18602562	19.76308441	25.71966553	33.47155762																						107.7715579	3548.5	29006	149.18005	57353.97489	57392.134	0.000653717	871.1286011	34.31602097	37.38524628	394.4746704	70.35660553	53170.5	386321.0911	7202067.647
L120030	71.07795141	441.9945374	61.68940735	16.26672363	209.5076447	124.4685745	530.5496826	60.73509216	30.92061806	230.200058	95.72956848	0.000159675	29.2987175	29.4395752	7.54E-06	20230816	-37.36146927	2.676094055	-0.965805054	-25.30760193	-4.457550049	57258.17062	884.1380615	884.1380615	884.1380615	857.0031738	687.5084839	551.5357666	442.4551697	351.2912903	13.59060192	0.949209452	1.776746392	3.325744152	5.762865067	7.412694454	9.53484726	12.26454353	15.77571487	20.29208755	26.10143471	33.57391739																						107.7634626	3548.6	29006	149.17796	57354.03538	57392.206	0.000702386	884.1380615	34.36867523	36.836689	395.2245178	69.75209045	53170.6	386320.6455	7202064.784
L120030	71.09290551	439.4810486	61.46557999	16.45602036	208.6050262	124.5975494	530.7921753	60.54564667	30.72402382	229.3102875	95.44099426	0.000121655	29.27763939	29.24154472	1.02E-05	20230816	-37.45648575	2.728179932	-0.136016846	-25.26987076	-4.369117737	57258.18213	894.322937	894.322937	894.322937	867.6367798	694.9498291	556.6329346	445.84552	357.1082458	14.15201855	0.937686682	1.823640943	3.546671152	6.285141945	7.980791092	10.13390446	12.86789894	16.33949089	20.74767113	26.34512329	33.45269394																						107.7582694	3548.7	29006	149.17587	57354.10487	57392.287	0.000668318	894.322937	34.47665787	35.9767189	396.595459	69.26241302	53170.7	386320.1999	7202061.92
L120030	71.10389793	437.8572083	61.23534775	16.73825264	207.6339417	124.6434326	531.1167603	60.39220047	30.52742386	228.584137	95.10632324	9.67E-05	29.21639252	28.95721817	8.59E-06	20230816	-37.52705765	2.75629425	0.913421631	-25.25402832	-4.267616272	57258.19364	901.3336792	901.3336792	901.3336792	875.8372192	701.4309692	561.7544556	449.8918152	360.3044739	15.05704308	0.92201972	1.875441074	3.814754963	6.933401108	8.666401863	10.83256721	13.54016304	16.9245224	21.15480232	26.44243813	33.05171585																						107.7570379	3548.8	29006	149.17378	57354.17536	57392.369	0.000618211	901.3336792	34.62175369	34.82751465	398.6130981	68.82488251	53170.8	386319.7543	7202059.057
L120030	71.11080404	436.8930054	61.01974106	17.09038734	206.5646057	124.5848312	531.4708252	60.2678566	30.36745834	227.8575134	94.70232391	0.000152854	29.14076805	28.61880875	3.24E-05	20230816	-37.57663345	2.771858215	2.043388367	-25.24106216	-4.146514893	57258.20515	905.8666382	905.8666382	905.8666382	882.0338745	707.0160522	566.7262573	454.273468	364.1341553	16.23104858	0.903009117	1.930796742	4.128392696	7.691076756	9.442234039	11.59210587	14.23147583	17.47179413	21.44989204	26.33374977	32.32959747																						107.7598926	3548.9	29006	149.17169	57354.24385	57392.449	0.000616816	905.8666382	34.77435303	33.53271484	401.0272522	68.43789673	53170.9	386319.3086	7202056.194
L120030	71.11345753	436.1309509	60.83005905	17.46268845	205.4023743	124.3929825	531.7617188	60.15641785	30.27351761	226.9098511	94.25095367	0.000140816	29.06882286	28.27959824	5.23E-05	20230816	-37.61362457	2.790405273	3.082756042	-25.20145416	-4.01449585	57258.21666	909.4885254	909.4885254	909.4885254	887.2703247	711.9287109	571.237915	458.3503723	367.7715454	17.43702316	0.884593964	1.985105634	4.454749107	8.461439133	10.20324039	12.30359364	14.83630753	17.89038467	21.57314873	26.01401711	30.25009727																						107.7630722	3549	29006	149.1696	57354.32034	57392.537	0.000391699	909.4885254	34.90808487	32.2973671	403.3176575	68.16005707	53171	386318.863	7202053.33
L120030	71.11056935	435.061554	60.66124344	17.79771423	204.2059479	124.0469055	531.7924805	60.03675842	30.26452446	225.5713654	93.80095673	0.000145012	29.01389313	27.99382401	1.12E-05	20230816	-37.64236832	2.827033997	3.836395264	-25.10684586	-3.887336731	57258.22827	913.8012085	913.8012085	913.8012085	892.5719604	716.3068237	574.8505249	461.3290405	370.225769	18.3063221	0.873013794	2.037398338	4.754784584	9.135586739	10.84699631	12.87901115	15.29169273	18.156353	21.55766106	25.59615135																							107.7266218	3549.1	29006	149.13041	57354.41673	57392.645	0.000602198	913.8012085	35.01122284	31.30698204	404.8520508	68.07196045	53171.1	386318.4407	7202050.542
L120030	71.09981336	433.302063	60.49619293	18.05108833	203.0726776	123.5486908	531.2446289	59.88982391	30.34353447	223.8083496	93.39912415	0.000154703	28.98347473	27.80013466	2.09E-05	20230816	-37.65745544	2.892883301	4.224014282	-24.94218826	-3.778022766	57258.23988	919.6834717	919.6834717	919.6834717	898.4008789	720.0582275	577.1185913	462.5540771	370.7319031	18.50247002	0.873788774	2.089310646	4.995737076	9.638002396	11.31552124	13.28501606	15.59730721	18.3120594	21.49931908	25.2413311																							107.6980392	3549.2	29006	149.09122	57354.52612	57392.766	0.000695872	919.6834717	35.08829117	30.66871834	405.143158	68.22590637	53171.2	386318.0184	7202047.753
